annotator,winner,loser,time
ace8318348020c58,b1e728abf9fb8bba,898e71d965aa47e6,2015-09-20 15:40:13.379407
2ae4272d403a0f02,a51e406f8f84ab2e,2860d21bddb5234e,2015-09-20 15:40:16.057945
0d95a36ef84d6a73,df0b574e2a891076,6998394353477dab,2015-09-20 15:40:16.432466
7e85e6d16c1358bb,fe10193a084df594,1b7b37141490f8c0,2015-09-20 15:40:22.074584
01eddb8b8a6fa2a7,421d0177cb7900d3,de9aac5434afd570,2015-09-20 15:40:27.473396
e6d601502659691e,322ea9353affcb34,cc04214dfd98aedc,2015-09-20 15:40:31.405631
bb43febd9fbb8fd9,1b7b37141490f8c0,30a297f128baa987,2015-09-20 15:40:33.996162
ee9aa2c6f5f3d255,dc9bba8ad4691996,b1e728abf9fb8bba,2015-09-20 15:40:41.286942
3bec00ceec2ba473,bc7f4dc06903be04,927c2881d101570d,2015-09-20 15:40:52.818134
e5f961edefdb8028,bc7f4dc06903be04,30a297f128baa987,2015-09-20 15:40:55.643524
5045101efb9977ce,309082f603c5c773,49e9890bd7cd8b98,2015-09-20 15:40:56.01213
3f104d7f0d69186f,c63d36204ede0d5c,d474540874b4c1e2,2015-09-20 15:40:56.718651
b6f0b66fec1201f0,0844adab2e650e07,b8ecf1fc4559386a,2015-09-20 15:40:59.257686
00bb4bc73a29dc3e,309082f603c5c773,0844adab2e650e07,2015-09-20 15:41:07.076032
f0314d1144f5ec41,309082f603c5c773,d82db8b6eb5fcb68,2015-09-20 15:41:11.285204
fd5cf7735586f324,d9fda45497a7e1d7,0541226c22da3aab,2015-09-20 15:41:11.485943
10d0244d8b52b675,c22b9bda505b5749,48396acc0443b6b0,2015-09-20 15:41:25.032534
6ad2025ac8e4cefb,ba843f464a043570,3ec048c2498b56f9,2015-09-20 15:41:29.485335
92caadc8b2e1d6fe,11aae39c4c2ffe00,30a297f128baa987,2015-09-20 15:41:41.510771
00bb4bc73a29dc3e,0844adab2e650e07,ecc9cdb515a2ca5f,2015-09-20 15:41:53.53345
9c073df1e723e040,46a4feb9a4336113,7d7ebd50c79b1665,2015-09-20 15:42:00.789102
5fc824b1d31cc45a,422917ac913079a6,48396acc0443b6b0,2015-09-20 15:42:01.185104
9557c7b476bd24a9,9fc9f31c85fa35d1,bc7f4dc06903be04,2015-09-20 15:42:02.401959
3b12fb1c81746a51,1b7b37141490f8c0,ecc9cdb515a2ca5f,2015-09-20 15:42:07.350876
2039e722f0b134e2,33b2fa42dabd14d5,422917ac913079a6,2015-09-20 15:42:11.560557
04a758c535e83066,bca1cf59e67ee7bb,717de8575a83c3f4,2015-09-20 15:42:11.842119
dc5f62ace932a3c1,fcdc5c6575c7dd66,2fa26e875c7ed590,2015-09-20 15:42:14.518975
0a3455c6876d6949,0541226c22da3aab,b98e6084a0d45441,2015-09-20 15:42:15.048204
